r_m,Phi,clock_dnu_over_nu,interferometer_phase_proxy,cavity_df_over_f,gravimeter_dg_proxy
0.51,9.345856434540651e-15,9.345856434540651e-15,-6.796068634059695e-17,4.6729282172703254e-15,4.958948807593008e-15
0.52,9.294928538647537e-15,9.294928538647537e-15,-7.318956407160284e-17,4.647464269323769e-15,5.2277652478486124e-15
0.53,9.241278879920534e-15,9.241278879920534e-15,-7.869388345650606e-17,4.620639439960267e-15,5.5032555032237174e-15
0.54,9.184842150949472e-15,9.184842150949472e-15,-8.448002112172843e-17,4.592421075474736e-15,5.785127937828431e-15
0.55,9.125556126616086e-15,9.125556126616086e-15,-9.055402862604635e-17,4.562778063308043e-15,6.0730576022630074e-15
0.56,9.063362000863115e-15,9.063362000863115e-15,-9.692159845687592e-17,4.5316810004315575e-15,6.366685524574309e-15
0.5700000000000001,8.998204729999494e-15,8.998204729999494e-15,-1.0358802943274472e-16,4.499102364999747e-15,6.665618114251187e-15
0.58,8.930033381345738e-15,8.930033381345738e-15,-1.1055819163816898e-16,4.465016690672869e-15,6.9694266924045166e-15
0.59,8.858801485891012e-15,8.858801485891012e-15,-1.1783649103049023e-16,4.429400742945506e-15,7.27764716148324e-15
0.6,8.784467393499313e-15,8.784467393499313e-15,-1.2542683387166464e-16,4.3922336967496565e-15,7.589779827983406e-15
0.61,8.706994629067524e-15,8.706994629067524e-15,-1.3333259115142521e-16,4.353497314533762e-15,7.905289391601502e-15
0.62,8.626352247904101e-15,8.626352247904101e-15,-1.4155656318154173e-16,4.313176123952051e-15,8.223605114153953e-15
0.63,8.542515188465193e-15,8.542515188465193e-15,-1.5010094455393228e-16,4.2712575942325965e-15,8.544121181320624e-15
0.64,8.45546462045629e-15,8.45546462045629e-15,-1.589672896680043e-16,4.227732310228145e-15,8.866197269859576e-15
0.65,8.365188286183753e-15,8.365188286183753e-15,-1.6815647904465269e-16,4.1825941430918765e-15,9.189159332372852e-15
0.66,8.271680832923322e-15,8.271680832923322e-15,-1.776686866556606e-16,4.135840416461661e-15,9.512300610968495e-15
0.67,8.174944133963595e-15,8.174944133963595e-15,-1.875033485076502e-16,4.0874720669817974e-15,9.834882890253173e-15
0.68,8.07498759588353e-15,8.07498759588353e-15,-1.9765913272904014e-16,4.037493797941765e-15,1.0156137998995402e-14
0.6900000000000001,7.971828449535795e-15,7.971828449535795e-15,-2.0813391141648915e-16,3.9859142247678975e-15,1.0475269568514221e-14
0.7000000000000001,7.86549202213455e-15,7.86549202213455e-15,-2.18924734503846e-16,3.932746011067275e-15,1.0791455054368605e-14
0.71,7.756011987788659e-15,7.756011987788659e-15,-2.3002780592149304e-16,3.8780059938943294e-15,1.1103848026245705e-14
0.72,7.643430593781612e-15,7.643430593781612e-15,-2.414384623169593e-16,3.821715296890806e-15,1.1411580729071195e-14
0.73,7.527798859879333e-15,7.527798859879333e-15,-2.531511546086034e-16,3.763899429939667e-15,1.1713766916294712e-14
0.74,7.40917674794873e-15,7.40917674794873e-15,-2.651594326428244e-16,3.704588373974365e-15,1.2009504954043103e-14
0.75,7.287633299194912e-15,7.287633299194912e-15,-2.774559332214849e-16,3.643816649597456e-15,1.2297881192391414e-14
0.76,7.16324673637552e-15,7.16324673637552e-15,-2.900323717598378e-16,3.58162336818776e-15,1.2577973597388723e-14
0.77,7.036104528427853e-15,7.036104528427853e-15,-3.0287953782609773e-16,3.5180522642139266e-15,1.2848855634707013e-14
0.78,6.906303415050322e-15,6.906303415050322e-15,-3.159872948017367e-16,3.453151707525161e-15,1.3109600392875843e-14
0.79,6.7739493889150745e-15,6.7739493889150745e-15,-3.2934458388651603e-16,3.3869746944575373e-15,1.33592849310452e-14
0.8,6.639157633354735e-15,6.639157633354735e-15,-3.429394326540878e-16,3.3195788166773676e-15,1.35969948331105e-14
0.81,6.5020524135636385e-15,6.5020524135636385e-15,-3.567589683426629e-16,3.2510262067818192e-15,1.3821828946866695e-14
0.8200000000000001,6.362766919583233e-15,6.362766919583233e-15,-3.7078943604072e-16,3.1813834597916167e-15,1.4032904283667076e-14
0.8300000000000001,6.221443059602496e-15,6.221443059602496e-15,-3.850162219000372e-16,3.110721529801248e-15,1.4229361050883732e-14
0.84,6.078231202396891e-15,6.078231202396891e-15,-3.9942388147751397e-16,3.0391156011984453e-15,1.4410367786341784e-14
0.85,5.933289868052961e-15,5.933289868052961e-15,-4.1399617327342233e-16,2.9666449340264805e-15,1.4575126560872098e-14
0.86,5.786785366478725e-15,5.786785366478725e-15,-4.287160974970166e-16,2.8933926832393624e-15,1.4722878212243966e-14
0.87,5.638891383581074e-15,5.638891383581074e-15,-4.4356594005104805e-16,2.819445691790537e-15,1.485290757104915e-14
0.88,5.489788515398096e-15,5.489788515398096e-15,-4.585273216848977e-16,2.744894257699048e-15,1.4964548636661485e-14
0.89,5.339663750904081e-15,5.339663750904081e-15,-4.735812522220763e-16,2.6698318754520405e-15,1.5057189659244396e-14
0.9,5.188709904654524e-15,5.188709904654524e-15,-4.887081897220698e-16,2.594354952327262e-15,1.5130278081972592e-14
